Epoch 1/80, Loss: 1.0855, Train Acc: 0.4316, Val Acc: 0.3878, delta: 10.13%
Epoch 2/80, Loss: 1.0630, Train Acc: 0.4854, Val Acc: 0.3878, delta: 20.11%
Epoch 3/80, Loss: 1.0522, Train Acc: 0.4850, Val Acc: 0.3878, delta: 20.04%
Epoch 4/80, Loss: 1.0444, Train Acc: 0.4850, Val Acc: 0.3878, delta: 20.04%
Epoch 5/80, Loss: 1.0366, Train Acc: 0.4850, Val Acc: 0.3878, delta: 20.04%
Epoch 6/80, Loss: 1.0267, Train Acc: 0.4852, Val Acc: 0.3878, delta: 20.08%
Epoch 7/80, Loss: 1.0148, Train Acc: 0.4881, Val Acc: 0.3878, delta: 20.55%
Epoch 8/80, Loss: 0.9961, Train Acc: 0.5065, Val Acc: 0.4279, delta: 15.52%
Epoch 9/80, Loss: 0.9747, Train Acc: 0.5487, Val Acc: 0.4792, delta: 12.67%
Epoch 10/80, Loss: 0.9409, Train Acc: 0.5870, Val Acc: 0.6138, delta: -4.56%
Epoch 11/80, Loss: 0.8938, Train Acc: 0.6315, Val Acc: 0.6282, delta: 0.52%
Epoch 12/80, Loss: 0.8426, Train Acc: 0.6493, Val Acc: 0.7452, delta: -14.76%
Epoch 13/80, Loss: 0.8003, Train Acc: 0.6622, Val Acc: 0.6090, delta: 8.04%
Epoch 14/80, Loss: 0.7922, Train Acc: 0.6587, Val Acc: 0.6394, delta: 2.93%
Epoch 15/80, Loss: 0.7662, Train Acc: 0.6633, Val Acc: 0.6731, delta: -1.47%
Epoch 16/80, Loss: 0.7572, Train Acc: 0.6748, Val Acc: 0.7019, delta: -4.01%
Epoch 17/80, Loss: 0.7191, Train Acc: 0.6890, Val Acc: 0.7420, delta: -7.69%
Epoch 18/80, Loss: 0.7224, Train Acc: 0.6902, Val Acc: 0.7051, delta: -2.17%
Epoch 19/80, Loss: 0.6785, Train Acc: 0.7046, Val Acc: 0.6330, delta: 10.16%
Epoch 20/80, Loss: 0.6799, Train Acc: 0.7003, Val Acc: 0.7708, delta: -10.06%
Epoch 21/80, Loss: 0.6525, Train Acc: 0.7170, Val Acc: 0.7340, delta: -2.36%
Epoch 22/80, Loss: 0.6588, Train Acc: 0.7155, Val Acc: 0.7500, delta: -4.82%
Epoch 23/80, Loss: 0.6373, Train Acc: 0.7237, Val Acc: 0.7516, delta: -3.85%
Epoch 24/80, Loss: 0.6385, Train Acc: 0.7253, Val Acc: 0.7772, delta: -7.17%
Epoch 25/80, Loss: 0.6182, Train Acc: 0.7333, Val Acc: 0.7452, delta: -1.62%
Epoch 26/80, Loss: 0.6122, Train Acc: 0.7347, Val Acc: 0.7692, delta: -4.71%
Epoch 27/80, Loss: 0.6072, Train Acc: 0.7373, Val Acc: 0.7853, delta: -6.50%
Epoch 28/80, Loss: 0.6019, Train Acc: 0.7408, Val Acc: 0.7356, delta: 0.70%
Epoch 29/80, Loss: 0.5865, Train Acc: 0.7494, Val Acc: 0.6651, delta: 11.26%
Epoch 30/80, Loss: 0.5751, Train Acc: 0.7527, Val Acc: 0.7596, delta: -0.92%
Epoch 31/80, Loss: 0.5813, Train Acc: 0.7473, Val Acc: 0.7099, delta: 5.00%
Epoch 32/80, Loss: 0.5656, Train Acc: 0.7550, Val Acc: 0.7308, delta: 3.21%
Epoch 33/80, Loss: 0.5812, Train Acc: 0.7437, Val Acc: 0.6683, delta: 10.14%
Epoch 34/80, Loss: 0.5544, Train Acc: 0.7628, Val Acc: 0.7564, delta: 0.84%
Epoch 35/80, Loss: 0.5670, Train Acc: 0.7531, Val Acc: 0.7436, delta: 1.26%
Epoch 36/80, Loss: 0.5459, Train Acc: 0.7617, Val Acc: 0.7163, delta: 5.95%
Epoch 37/80, Loss: 0.5538, Train Acc: 0.7581, Val Acc: 0.7324, delta: 3.39%
Epoch 38/80, Loss: 0.5417, Train Acc: 0.7651, Val Acc: 0.7196, delta: 5.96%
Epoch 39/80, Loss: 0.5415, Train Acc: 0.7644, Val Acc: 0.7917, delta: -3.57%
Epoch 40/80, Loss: 0.5454, Train Acc: 0.7621, Val Acc: 0.6779, delta: 11.05%
Epoch 41/80, Loss: 0.5295, Train Acc: 0.7688, Val Acc: 0.7821, delta: -1.73%
Epoch 42/80, Loss: 0.5407, Train Acc: 0.7684, Val Acc: 0.7179, delta: 6.57%
Epoch 43/80, Loss: 0.5213, Train Acc: 0.7761, Val Acc: 0.7292, delta: 6.04%
Epoch 44/80, Loss: 0.5328, Train Acc: 0.7686, Val Acc: 0.7067, delta: 8.05%
Epoch 45/80, Loss: 0.5174, Train Acc: 0.7742, Val Acc: 0.7212, delta: 6.85%
Epoch 46/80, Loss: 0.5185, Train Acc: 0.7740, Val Acc: 0.7051, delta: 8.89%
Epoch 47/80, Loss: 0.5164, Train Acc: 0.7673, Val Acc: 0.6971, delta: 9.14%
Epoch 48/80, Loss: 0.5128, Train Acc: 0.7797, Val Acc: 0.7067, delta: 9.36%
Epoch 49/80, Loss: 0.5157, Train Acc: 0.7763, Val Acc: 0.6987, delta: 9.99%
Epoch 50/80, Loss: 0.5092, Train Acc: 0.7784, Val Acc: 0.7644, delta: 1.79%
Epoch 51/80, Loss: 0.5050, Train Acc: 0.7795, Val Acc: 0.7452, delta: 4.40%
Epoch 52/80, Loss: 0.5092, Train Acc: 0.7757, Val Acc: 0.7292, delta: 6.00%
Epoch 53/80, Loss: 0.5043, Train Acc: 0.7822, Val Acc: 0.6554, delta: 16.21%
Epoch 54/80, Loss: 0.5068, Train Acc: 0.7753, Val Acc: 0.6955, delta: 10.29%
Epoch 55/80, Loss: 0.4977, Train Acc: 0.7784, Val Acc: 0.7035, delta: 9.62%
Epoch 56/80, Loss: 0.4970, Train Acc: 0.7841, Val Acc: 0.7804, delta: 0.47%
Epoch 57/80, Loss: 0.5040, Train Acc: 0.7743, Val Acc: 0.7179, delta: 7.28%
Epoch 58/80, Loss: 0.4990, Train Acc: 0.7805, Val Acc: 0.7420, delta: 4.93%
Epoch 59/80, Loss: 0.4978, Train Acc: 0.7801, Val Acc: 0.7260, delta: 6.94%
Epoch 60/80, Loss: 0.4893, Train Acc: 0.7811, Val Acc: 0.6426, delta: 17.72%
